"Entity_Name","Address","Floor","Borough","State","Zip","AED_NumPersonTrained","AED_NumAeds","Latitude","Longitude","Community_District","Council_District","Census_Tract_2010","NTA_Code","BBL","BIN","Location Point","Location Type","Last Updated"
"P.S. 026 The Carteret School","4108 Victory Boulevard","Outside Rm 104 Main Bldg","Staten Island","New York","10314","10","1","40.5916946","-74.19064764","502","50","29102","SI05","5026340001","5107386","POINT (-74.19064764 40.5916946)","Public Schools",
"Wyckoff Gardens Senior Centers","280 Wyckoff Street","Director's Office","Brooklyn","New York","11217","3","1","40.68335777","-73.98394086","306","39","12700","BK38","3003940001","3336056","POINT (-73.98394086 40.68335777)","Senior Centers",
"Warner Media","230 PARK AVENUE SOUTH","NYP","Manhattan","New York","10003","1","14","40.73787495","-73.98874864","105","2","5200","MN13","1008470040","1016152","POINT (-73.98874864 40.73787495)","Businesses & Commercial Spaces",
"Zeta Charter School - Mount Eden Elementary","1475 Macombs Road","main entrance","Bronx","New York","10452","3","1","40.8420891","-73.91796145","204","16","21900","BX26","2028570024","2130572","POINT (-73.91796145 40.8420891)","School",
"Wachtell, Lipton, Rosen & Katz","51 WEST 52 STREET","26th floor/28th floor/29th floor/31st floor/33rd floor/34th floor","Manhattan","New York","10019","54","6","40.76064125","-73.97830898","105","4","10400","MN17","1012680001","1081406","POINT (-73.97830898 40.76064125)","Businesses & Commercial Spaces",
"P396K - Sid Miller Academy (formerly Ramon Betances School)","110 Chester Street","Main Entrance","Brooklyn","New York","11212","20","1","40.66884878","-73.91149932","316","41","92400","BK81","3035200008","3081032","POINT (-73.91149932 40.66884878)","School",
"Edge Fund Advisors","1540 Broadway","FL 05 - Engineering Office","Manhattan","New York","10036","10","1","40.75783992","-73.98500932","105","4","1000","MN17","1009987501","1076844","POINT (-73.98500932 40.75783992)","Businesses & Commercial Spaces","08/13/2024"
"P.S. 041 Francis White","411 Thatford Avenue","Next To Room 320","Brooklyn","New York","11212","5","1","40.66029826","-73.90735495","316","41","91800","BK81","3036040001","3082389","POINT (-73.90735495 40.66029826)","Public Schools",
"Citigroup Corporation Investment Bank-Medical Department:388 Greenwich Street","388 GREENWICH STREET","FL 05 -Emergency Equipment Back Doors of Medical","Manhattan","New York","10013","315","1","40.72065166","-74.01009762","101","1","3900","MN24","1002160001","1082816","POINT (-74.01009762 40.72065166)","Businesses & Commercial Spaces",
"P.S./I.S. 087 Middle Village","67-54 80th Street","outside 113","Queens","New York","11379","9","1","40.71180753","-73.87123729","405","30","62100","QN21","4037820027","4091737","POINT (-73.87123729 40.71180753)","Public Schools",
"P.S. 5 Port Morris","564 Jackson Avenue","3rd floor outside room 316","Bronx","New York","10455","9","1","40.81372084","-73.90888546","201","8","7300","BX34","2026420001","2004548","POINT (-73.90888546 40.81372084)","Public Schools",
"I.S. 075 Frank D. Paulo","455 Huguenot Avenue","Outside Room 239","Staten Island","New York","10312","16","1","40.54437298","-74.19789528","503","51","17010","SI48","5060500002","5079651","POINT (-74.19789528 40.54437298)","Public Schools",
"M.S. 593 Bronx","1000 Teller Avenue","Main Entrance","Bronx","New York","10456","9","1","40.8279346","-73.91437278","204","16","17300","BX14","2024240001","2097111","POINT (-73.91437278 40.8279346)","Public Schools","03/10/2025"
"Department of Citywide Administrative Services","1118 Boulevard","FL 05","Bronx","New York","10451","2","1","40.8322257","-73.91965401","204","16","18102","BX14","2024620039","2101266","POINT (-73.91965401 40.8322257)","Government Buildings & Services",
"Van Cortlandt Park Visitor Center","80 Van Cortlandt Park South","1","Bronx","New York","10471","1","1","40.88469963","-73.88998914","208","11","28100","BX28","2032520209","2015473","POINT (-73.88998914 40.88469963)","Parks & Recreation",
"I.S. 171 Abraham Lincoln","528 Ridgewood Avenue","MAIN ENTRANCE NEXT TO SCHOOL SAFETY","Brooklyn","New York","11208","0","1","40.68617226","-73.86962475","305","37","118400","BK83","3041340020","3092456","POINT (-73.86962475 40.68617226)","Public Schools",
"P.S. 055 Henry M. Boehm","54 Osborne Street","Outside of Room 221","Staten Island","New York","10312","12","1","40.53663164","-74.16381363","503","51","15602","SI01","5053360001","5069075","POINT (-74.16381363 40.53663164)","Public Schools",
"Herbert Von King Recreation Center","670 Lafayette Avenue","1","Brooklyn","New York","11216","2","1","40.69038688","-73.94676915","303","36","26300","BK75","3017900001","3049973","POINT (-73.94676915 40.69038688)","Parks & Recreation",
"P. S. 62 - Chester Park School","97-25 108 Street","Main Entrance","Queens","New York","11419","36","1","40.68856942","-73.83616143","409","29","11000","QN54","4094100001","4197909","POINT (-73.83616143 40.68856942)","Public Schools","03/10/2025"
"KPMG LLP","1350 AVENUE OF THE AMERICAS",,"Manhattan","New York","10019","18","6","40.76272453","-73.97834079","105","4","10400","MN17","1012700071","1034815","POINT (-73.97834079 40.76272453)","Businesses & Commercial Spaces",
"CSI High School for International Studies","100 Essex Drive","Marsh Expeditionary School Entrance LL","Staten Island","New York","10314","40","1","40.5813078","-74.15858839","502","51","27702","SI24","5024500320","5149609","POINT (-74.15858839 40.5813078)","School","03/10/2025"
"The Museum of Modern Art","11 WEST 53 STREET","Entrance of Carpenter Shop - SC Across the #18 Elevator","Manhattan","New York","10019","13","1","40.76099511","-73.97720066","105","4","10400","MN17","1012690020","1081128","POINT (-73.97720066 40.76099511)","Museums",
"Glenridge Senior Centers","59-03 Summerfield Street","Refrigerator Room","Queens","New York","11385","6","1","40.69945541","-73.89785508","405","34","55700","QN20","4035880001","4437841","POINT (-73.89785508 40.69945541)","Senior Centers",
"P.S. 029 John M. Harrigan","425 Henry Street","Outside Room 424","Brooklyn","New York","11201","11","1","40.68695179","-73.99805289","306","39","4500","BK33","3003110001","3255627","POINT (-73.99805289 40.68695179)","Public Schools",
"The Lowell School","142-45 58 ROAD","Travel","Queens","New York","11355","20","2","40.74405159","-73.82277994","407","20","83700","QN62","4064070001","4438282","POINT (-73.82277994 40.74405159)","School",
"Vornado (4 Union)","4 UNION SQUARE SOUTH","Engineer's office","Manhattan","New York","10003","7","1","40.73437837","-73.99165394","102","2","6100","MN23","1005650011","1009216","POINT (-73.99165394 40.73437837)","Businesses & Commercial Spaces",
"P.S. 138 Brooklyn","760 Prospect Place","Basement Gym","Brooklyn","New York","11216","7","1","40.6743732","-73.95144334","308","36","31701","BK61","3012330026","3330794","POINT (-73.95144334 40.6743732)","Public Schools",
"The Arsenal","830 Fifth Ave","Basement and Third Floor","Manhattan","New York","10021","3","2","40.76770452","-73.97051599","164","6","14300","MN99","1011110001","1083811","POINT (-73.97051599 40.76770452)","Parks & Recreation",
"Macy's - Backstage - Fordham Place #007","404 EAST FORDHAM ROAD","-","Bronx","New York","10458","9","1","40.86162317","-73.89126388","206","15","38302","BX40","2030337501","2116415","POINT (-73.89126388 40.86162317)","Businesses & Commercial Spaces",
"c-III Capital Partners","717 5 AVENUE","Suite 1401","Manhattan","New York","11725","4","1","40.76212814","-73.97456149","105","4","10200","MN17","1012917501","1035776","POINT (-73.97456149 40.76212814)","Businesses & Commercial Spaces",
"P.S. 195 Bronx","1250 Ward Avenue","Main Entrance-South Building","Bronx","New York","10472","11","1","40.83049245","-73.87770266","209","17","5400","BX08","2037750025","2088553","POINT (-73.87770266 40.83049245)","Public Schools",
"Academy For Personal Leadership and Excellence","120 East 184 Street","Main Entrance","Bronx","New York","10468","43","1","40.85974561","-73.90016025","205","14","23703","BX40","2031720046","2013899","POINT (-73.90016025 40.85974561)","Public Schools","03/10/2025"
"Cohen & Steers Capital Management, Inc.","280 Park Avenue","FL 19 - Pantry","Manhattan","New York","10017","33","5","40.75601562","-73.97483093","105","4","9400","MN17","1012840033","1035441","POINT (-73.97483093 40.75601562)","Businesses & Commercial Spaces",
"Conde Nast Building","4 Times Square","24th floor / security desk","Manhattan","New York","10036","0","1","40.75617401","-73.98624415","105","4","11900","MN17","1009950005","1085682","POINT (-73.98624415 40.75617401)","Businesses & Commercial Spaces",
"M.S. 839 Brooklyn","713 Caton Avenue","4th Floor Stairwell","Brooklyn","New York","11218","6","1","40.64758311","-73.97336208","307","40","50400","BK40","3053210064","3398290","POINT (-73.97336208 40.64758311)","Public Schools",
"Jack and Pearl Resnick Campus","1300 Morris Park Ave","Forchheiner, Gr Fl Lobby","Bronx","New York","10461","2","1","40.85117554","-73.84482139","211","13","28600","BX37","2041170001","2097363","POINT (-73.84482139 40.85117554)","School",
"J.H.S. 189 Daniel Carter Beard","144-80 Barclay Avenue","Outside Room 324A","Queens","New York","11355","7","1","40.75983601","-73.82054669","407","20","86300","QN51","4050510027","4114763","POINT (-73.82054669 40.75983601)","Public Schools",
"Maria Lawton Senior Centers","400 Hart Street","Director's Office","Brooklyn","New York","11206","5","1","40.69478049","-73.93464527","303","36","28700","BK35","3015950024","3341752","POINT (-73.93464527 40.69478049)","Senior Centers",
"Haug Partners LLP","745 FIFTH AVENUE","11th Floor Closet","Manhattan","New York","10151","15","1","40.76331917","-73.97369465","105","4","11202","MN17","1012930069","1036079","POINT (-73.97369465 40.76331917)","Businesses & Commercial Spaces",
"P.S. 81Q Jean Paul Richter","559 Cypress Avenue","main entrance","Queens","New York","11385","10","1","40.70375748","-73.91234365","405","34","54500","QN20","4034370001","4082076","POINT (-73.91234365 40.70375748)","Public Schools",
"The Blackstone Group","345 PARK AVENUE","10th Floor / west pantry","Manhattan","New York","10154","33","1","40.75816441","-73.97324549","105","4","10000","MN19","1013060001","1036460","POINT (-73.97324549 40.75816441)","Businesses & Commercial Spaces",
"Walt Disney/ABC, Inc.","320 WEST 66 STREET","300L Studios-3rd Floor","Manhattan","New York","10023","180","1","40.77615325","-73.98759398","107","6","15100","MN14","1011717514","1083024","POINT (-73.98759398 40.77615325)","Businesses & Commercial Spaces",
"Little Red School House","145 THOMPSON STREET","Mobile 1","Manhattan","New York","10012","1","1","40.72677842","-74.00105712","102","1","4900","MN24","1005170126","1008058","POINT (-74.00105712 40.72677842)","School",
"NYCDOT Ferry Division","1 Bay Street","Ollis Class Vessels (3)","Staten Island","New York","10301","100","9","40.64372588","-74.0727888","501","49","300","SI22","5000020001","5141706","POINT (-74.0727888 40.64372588)","Ferries & Other Transportation",
