"Entity_Name","Address","Floor","Borough","State","Zip","AED_NumPersonTrained","AED_NumAeds","Latitude","Longitude","Community_District","Council_District","Census_Tract_2010","NTA_Code","BBL","BIN","Location Point","Location Type","Last Updated"
"P.S. 040 George W. Carver","265 Ralph Avenue","main entrance","Brooklyn","New York","11233","11","1","40.68045601","-73.922264","303","41","37900","BK35","3015180001","3041214","POINT (-73.922264 40.68045601)","Public Schools",
"The Frick Collection","1 East 70th Street","FL 01","Manhattan","New York","10021","30","4","40.77104689","-73.967749","108","4","13000","MN40","1013850001","1081213","POINT (-73.967749 40.77104689)","Museums","04/30/2025"
"Carmel Richmond Healthcare & Rehabilitation Center","88 OLD TOWN ROAD","4th Floor","Staten Island","New York","10304","100","1","40.59622848","-74.09047813","502","50","9601","SI36","5033070005","5048706","POINT (-74.09047813 40.59622848)","Nursing Homes",
"Walt Disney/ABC, Inc.","77 WEST 66 STREET","Stair A-Floor 15","Manhattan","New York","10023","180","1","40.77324011","-73.98069136","107","6","15300","MN14","1011190008","1082810","POINT (-73.98069136 40.77324011)","Businesses & Commercial Spaces",
"Bronx Community Charter School","3170 Webster Avenue","4th Floor outside dance room","Bronx","New York","10467","10","1","40.87249815","-73.8753905","207","11","42500","BX43","2033577502","2124445","POINT (-73.8753905 40.87249815)","School",
"P.S. 011 Kathryn Phelan","54-25 Skillman Avenue","Main Lobby","Queens","New York","11377","15","1","40.74523633","-73.90871964","402","26","25100","QN63","4012390001","4532004","POINT (-73.90871964 40.74523633)","Public Schools",
"KIPP Freedom Charter Elementary School","2246 Jerome Avenue","Main Entrance - old location","Bronx","New York","10453","4","1","40.85783597","-73.90420114","205","14","23900","BX40","2031860049","2014062","POINT (-73.90420114 40.85783597)","School",
"Congregation Rodeph Sholom","7 WEST 83 STREET","6th Floor Synagogue","Manhattan","New York","10024","13","1","40.78350349","-73.97114089","107","6","16900","MN12","1011970020","1031230","POINT (-73.97114089 40.78350349)","Houses of Worship",
"Holy Cross High School","26-20 FRANCIS LEWIS BOULEVARD","Medical Office - main fl","Queens","New York","11358","4","1","40.77115685","-73.79516789","407","19","114100","QN51","4049260014","4438080","POINT (-73.79516789 40.77115685)","School",
"P.S. 148 Queens","89-02 32 Avenue","Outside Room 315","Queens","New York","11369","19","1","40.75837007","-73.87908813","403","25","33900","QN28","4014190001","4034841","POINT (-73.87908813 40.75837007)","Public Schools",
"P.S. 084 Steinway","22-45 41 Street","MAIN ENTRANCE","Queens","New York","11105","3","1","40.77150451","-73.90632955","401","22","11900","QN72","4007940017","4015334","POINT (-73.90632955 40.77150451)","Public Schools",
"P751M @ M323 (M323)","75 Morton Street","Outside Room 212","Manhattan","New York","10014","5","1","40.73099141","-74.00719103","102","3","6900","MN23","1006030049","1010407","POINT (-74.00719103 40.73099141)","Public Schools",
"Saint David's School","12 EAST 89 STREET","Fisrt Floor entrance behind security","Manhattan","New York","10128","72","1","40.78318667","-73.95839426","108","4","15002","MN40","1015000062","1073030","POINT (-73.95839426 40.78318667)","School",
"P.S. 234 Independence School","292 Greenwich Street","Third Fl. Near StairB","Manhattan","New York","10007","10","1","40.71601017","-74.01103843","101","1","2100","MN24","1001420001","1001533","POINT (-74.01103843 40.71601017)","Public Schools",
"Special Music School","129 West 67 Street","3rd Floor Elevator","Manhattan","New York","10023","5","1","40.77491199","-73.98274527","107","6","15300","MN14","1011390008","1081024","POINT (-73.98274527 40.77491199)","School",
"P.S. 017 Henry D. Woodworth","208 North 5 Street","Outside Room 408","Brooklyn","New York","11211","0","1","40.71534379","-73.9567161","301","34","51900","BK73","3023450001","3062337","POINT (-73.9567161 40.71534379)","Public Schools",
"Shiloh dba Camp Shiloh","48 EAST 80 STREET","-","Manhattan","New York","10075","4","1","40.77678138","-73.96113875","108","4","14200","MN40","1014910048","1046451","POINT (-73.96113875 40.77678138)","Businesses & Commercial Spaces","09/17/2025"
"Tilden Senior Centers","630 Mother Gaston Blvd","Director's Office","Brooklyn","New York","11212","1","1","40.66346404","-73.90527796","316","41","91200","BK81","3035760001","3326549","POINT (-73.90527796 40.66346404)","Senior Centers",
"Brookfield Properties - One Pierrepont Plaza","300 CADMAN PLAZA WEST","-","Brooklyn","New York","11201","12","3","40.69519125","-73.99086911","302","33","502","BK09","3002390001","3001937","POINT (-73.99086911 40.69519125)","Businesses & Commercial Spaces",
"P.S. 096 Joseph Lanzetta","216 East 120 Street","main entrance by security desk","Manhattan","New York","10035","6","1","40.80024958","-73.93755727","111","8","19400","MN34","1017840012","1074333","POINT (-73.93755727 40.80024958)","Public Schools",
"I.S. 025 Adrien Block","34-65 192 Street","Gym (Basement)","Queens","New York","11358","15","1","40.76512565","-73.79008196","411","19","113900","QN48","4052610001","4119139","POINT (-73.79008196 40.76512565)","Public Schools",
"P.S. 146 Howard Beach","98-01 159 Avenue","Main Entrance","Queens","New York","11414","55","1","40.65986568","-73.83506801","410","32","88400","QN57","4141680016","4295163","POINT (-73.83506801 40.65986568)","Public Schools","03/10/2025"
"P.S. 9 Ryer Avenue Elementary School","230 East 183rd Street","Mini School Main Entrance","Bronx","New York","10458","7","1","40.85706019","-73.89893519","205","15","38301","BX40","2031500010","2013561","POINT (-73.89893519 40.85706019)","Public Schools",
"Ft. Greene Grant Square Senior Centers","19 Rogers Avenue","Coordinator's Office","Brooklyn","New York","11216","3","1","40.67690165","-73.95266726","308","36","31500","BK61","3012120006","3030302","POINT (-73.95266726 40.67690165)","Senior Centers",
"Dream Charter School Highbridge ES/MS","1162 River Ave","by stairwell A","Bronx","New York","10452","0","1","40.83465086","-73.92190969","204","16","19700","BX63","2024887501","2130367","POINT (-73.92190969 40.83465086)","School",
"Opportunity Charter School","240 WEST 113 STREET","CSAA","Manhattan","New York","10026","35","1","40.80168223","-73.95490792","110","9","21600","MN11","1018280015","1055111","POINT (-73.95490792 40.80168223)","School",
"Newtown High School","48-01 90th Street","4th Floor Girls Gym","Queens","New York","11373","13","1","40.74111454","-73.87472057","404","25","46100","QN29","4018490001","4045629","POINT (-73.87472057 40.74111454)","School",
"Goldie Maple Academy","365 Beach 56th Street","3rd Floor Outside room 322","Queens","New York","11692","8","1","40.59395929","-73.78618244","414","31","97204","QN12","4158940011","4301929","POINT (-73.78618244 40.59395929)","School",
"Brownsville Ascend Charter Lower School","1501 Pitkin Avenue","main entrance Legion side","Brooklyn","New York","11212","4","1","40.66859294","-73.9181216","316","41","90000","BK81","3034920001","3080697","POINT (-73.9181216 40.66859294)","School",
"Science, Technology and Research Early College High School at Erasmus","911 Flatbush Avenue","PSAL","Brooklyn","New York","11226","22","9","40.64978002","-73.95854985","314","40","79400","BK95","3051030010","3336215","POINT (-73.95854985 40.64978002)","Public Schools","03/10/2025"
"New York State Department For People With Developmental Disabilities","930 WILLOWBROOK ROAD","Building 15","Staten Island","New York","10314","0","1","40.60331013","-74.14179794","502","50","27301","SI05","5020400400","5107306","POINT (-74.14179794 40.60331013)","Government Buildings & Services",
"Risk and Insurance Management Society, Inc. - Avenue of the Americas","5 BRYANT PARK","-","Manhattan","New York","10018-1847","5","1","40.75393699","-73.98594864","105","4","11300","MN17","1009930029","1022565","POINT (-73.98594864 40.75393699)","Businesses & Commercial Spaces",
"P.S. 315 Lab School","2865 Claflin Avenue","Main Entrance","Bronx","New York","10468","10","1","40.87323283","-73.89972047","208","14","26702","BX28","2032500073","2086833","POINT (-73.89972047 40.87323283)","Public Schools",
"Brooklyn Ascend Charter Lower School","205 Rockaway Parkway","4th FL Stairwell","Brooklyn","New York","11212","8","1","40.6620268","-73.92112855","317","41","89200","BK81","3046330050","3394558","POINT (-73.92112855 40.6620268)","School",
"200 Park LP","200 Park Avenue","Mezzanine Office","Manhattan","New York","10166","0","1","40.75415504","-73.97655693","105","4","9200","MN19","1012809010","1085735","POINT (-73.97655693 40.75415504)","Businesses & Commercial Spaces","11/01/2024"
"P.S. 066 School of Higher Expectations","1001 Jennings Street","Main Entrance","Bronx","New York","10460","19","1","40.83115806","-73.88709317","203","17","15700","BX75","2030080001","2010916","POINT (-73.88709317 40.83115806)","Public Schools","03/10/2025"
"Manhattan West LLC","650 Madison Avenue","FL 17 - North Kiosk","Manhattan","New York","10022","42","1","40.76412","-73.97103381","108","4","11401","MN40","1013740014","1040753","POINT (-73.97103381 40.76412)","Businesses & Commercial Spaces",
"School of Performing Arts (X116)","977 Fox Street","outside 301","Bronx","New York","10459","29","1","40.82243627","-73.8939007","202","17","15900","BX27","2027140004","2005660","POINT (-73.8939007 40.82243627)","Public Schools","03/10/2025"
"P.S. 126 Jacob August Riis","80 Catherine Street","Main Entrance","Manhattan","New York","10038","5","1","40.71072148","-73.99663102","103","1","2500","MN27","1001110160","1083357","POINT (-73.99663102 40.71072148)","Public Schools",
"Morgan Stanley - 1585 Broadway","1585 Broadway","FL 07","Manhattan","New York","10036","2","1","40.76020869","-73.98533366","105","3","12500","MN17","1010197502","1076193","POINT (-73.98533366 40.76020869)","Businesses & Commercial Spaces",
"Challenge Charter High/Middle School","15-20 Central Avenue","main entrance near security","Queens","New York","11691","2","1","40.6056642","-73.75138813","414","31","103202","QN15","4155370133","4448976","POINT (-73.75138813 40.6056642)","School",
"Patterson Houses Senior Centers","308 East 145th Street","Office #1","Bronx","New York","10451","2","1","40.81519082","-73.92217827","201","8","5100","BX39","2023240001","2091115","POINT (-73.92217827 40.81519082)","Senior Centers",
"Manhattan West LLC","25 EAST 78 STREET","5th floor / orange kiosk","Manhattan","New York","10075","42","1","40.77583508","-73.96308541","108","4","14200","MN40","1013930014","1041863","POINT (-73.96308541 40.77583508)","Businesses & Commercial Spaces",
"P.S. 019 Judith K. Weiss","311 East 237 Street","outside room 357","Bronx","New York","10470","11","1","40.89901367","-73.86692314","212","11","45102","BX62","2033860001","2128791","POINT (-73.86692314 40.89901367)","Public Schools",
"Thomas A. Edison Career and Technical Education High School","165-65 84th Avenue","3rd Floor, by Elevator","Queens","New York","11432","17","1","40.71538132","-73.80036854","408","24","45200","QN35","4098670002","4211027","POINT (-73.80036854 40.71538132)","School",
"Jacob K. Javits Convention Center","655 WEST 34 STREET","1A Rear","Manhattan","New York","10001","75","1","40.75655629","-74.00380806","104","3","9900","MN13","1006800001","1067973","POINT (-74.00380806 40.75655629)","Performance Venues",
"Equinox","330 EAST 61 STREET",,"Manhattan","New York","10065","16","3","40.76129854","-73.9621369","108","5","11000","MN31","1014350016","1044200","POINT (-73.9621369 40.76129854)","Health Clubs & Gyms",
"PSP Investments USA LLC","450 LEXINGTON AVENUE","37th Floor, Suite 3750 (Cabinet Pantry Next to Printer)","Manhattan","New York","10017","10","1","40.7530952","-73.9748537","105","4","9200","MN19","1012800090","1085671","POINT (-73.9748537 40.7530952)","Businesses & Commercial Spaces",
"P.S. 199 Jessie Isador Straus","270 West 70 Street","1st Floor Security","Manhattan","New York","10023","8","1","40.77812637","-73.98462922","107","6","15500","MN14","1011580040","1030351","POINT (-73.98462922 40.77812637)","Public Schools",
"East Side Community School","420 East 12 Street","Outside Room 217","Manhattan","New York","10009","5","1","40.72958225","-73.982555","103","2","3400","MN22","1004390017","1005974","POINT (-73.982555 40.72958225)","School",
"JS Capital Management","888 SEVENTH AVENUE","40th floor / kitchen cabinet","Manhattan","New York","10106","0","1","40.76500854","-73.98041579","105","6","13700","MN17","1010280029","1024895","POINT (-73.98041579 40.76500854)","Businesses & Commercial Spaces",
"Atmosphere Academy Public Charter School - Broadway","5959 Broadway","Sports","Bronx","New York","10463","25","2","40.88894808","-73.89853208","208","11","28500","BX29","2057760621","2124471","POINT (-73.89853208 40.88894808)","School","03/10/2025"
"P.S. 094 Kings College School - Annex","268 East 211 Street","Main Entrance to Cafeteria","Bronx","New York","10467","12","1","40.88155785","-73.87479846","207","11","43100","BX43","2033560036","2115241","POINT (-73.87479846 40.88155785)","Public Schools",
"P.S. 059 The Community School of Technology","2185 Bathgate Avenue","5th Floor","Bronx","New York","10457","8","1","40.85276803","-73.89352319","206","15","39500","BX01","2030490037","2011538","POINT (-73.89352319 40.85276803)","Public Schools",
"P.S. 239 Queens","17-15 Weirfield Street","main entrance","Queens","New York","11385","11","1","40.69914216","-73.90379893","405","34","55300","QN20","4035610001","4435561","POINT (-73.90379893 40.69914216)","Public Schools",
"Institute for Health Professions at Cambria Heights","207-01 116 Avenue","Outside Room 318A","Queens","New York","11411","11","1","40.69781088","-73.74572742","413","27","53401","QN33","4110490001","4238003","POINT (-73.74572742 40.69781088)","Public Schools",
"P.S. 102 The Bayview","211 72 Street","New Buildling - Room 411","Brooklyn","New York","11209","15","1","40.63401233","-74.0290356","310","47","6800","BK31","3058900001","3146491","POINT (-74.0290356 40.63401233)","Public Schools",
"P.S. 057 Hubert H. Humphrey","140 Palma Drive","3rd Fl Room outside stair D","Staten Island","New York","10304","10","1","40.61150053","-74.08317674","501","49","4000","SI08","5028880040","5043519","POINT (-74.08317674 40.61150053)","Public Schools",
"Summit Academy Charter School","27 Huntington Street","Outside Room 335","Brooklyn","New York","11231","7","1","40.67755633","-74.00516631","306","38","5900","BK33","3005250001","3008342","POINT (-74.00516631 40.67755633)","School",
"P.S. 048 P.O. Michael J. Buczek","4360-78 Broadway","5th floor","Manhattan","New York","10033","11","1","40.85345991","-73.93404775","112","10","27100","MN35","1021670029","1076752","POINT (-73.93404775 40.85345991)","Public Schools",
"The Blackstone Group","345 PARK AVENUE","31st Floor / west pantry GSO","Manhattan","New York","10154","33","1","40.75816441","-73.97324549","105","4","10000","MN19","1013060001","1036460","POINT (-73.97324549 40.75816441)","Businesses & Commercial Spaces",
"Jacob K. Javits Convention Center","655 WEST 34 STREET","Farm Entrance","Manhattan","New York","10001","75","1","40.75655629","-74.00380806","104","3","9900","MN13","1006800001","1067973","POINT (-74.00380806 40.75655629)","Performance Venues",
"Perkins Eastman","115 FIFTH AVENUE","6th Floor - Kitchen","Manhattan","New York","10003","13","1","40.73888801","-73.99150181","105","3","5200","MN13","1008470062","1080756","POINT (-73.99150181 40.73888801)","Businesses & Commercial Spaces",
"Grand Concourse Academy Charter School","625 Bolton Avenue","3rd Floor, Outside Room 304","Bronx","New York","10473","11","1","40.81830286","-73.85842143","209","18","1600","BX09","2035627501","2124526","POINT (-73.85842143 40.81830286)","School",
"P.S. 58 - The School of Heroes","72-24 Grand Avenue","MAin Lobby","Queens","New York","11378","12","1","40.72872728","-73.89069862","405","30","49302","QN30","4028020001","4607309","POINT (-73.89069862 40.72872728)","Public Schools",
"The Richmond Pre-K Center at 120 Stuyvesant Place (R077)","120 Stuyvesant Place","Outside Community Office","Staten Island","New York","10301","5","1","40.64325641","-74.07715919","501","49","300","SI22","5000080060","5000084","POINT (-74.07715919 40.64325641)","Public Schools",
"Hartree Partners, LP","1185 6th Avenue","FL 15","Manhattan","New York","10036","12","1","40.75757876","-73.98212532","105","4","12500","MN17","1009990029","1083717","POINT (-73.98212532 40.75757876)","Businesses & Commercial Spaces","01/27/2025"
"The Museum of Modern Art","11 WEST 53 STREET","FL 03 - 42 West, EE Stairwell","Manhattan","New York","10019","13","1","40.76099511","-73.97720066","105","4","10400","MN17","1012690020","1081128","POINT (-73.97720066 40.76099511)","Museums",
"P.S. 190 Sheffield","590 Sheffield Avenue","third floor outside elevator","Brooklyn","New York","11207","5","1","40.66231823","-73.89444111","305","42","112800","BK85","3038380018","3085491","POINT (-73.89444111 40.66231823)","Public Schools",
"P811Q Mini School (Q822)","114-36 202nd Street","across from room M13","Queens","New York","11412","8","1","40.6996373","-73.75251859","412","27","52000","QN08","4110180021","4236757","POINT (-73.75251859 40.6996373)","School",
"P.S. 149 Sojourner Truth","34 West 118 Street","Outside Room 327","Manhattan","New York","10026","12","1","40.80250493","-73.94680918","110","9","19000","MN11","1016010001","1051434","POINT (-73.94680918 40.80250493)","Public Schools",
"Yorkville Community School","421 East 88th Street","Room 300A","Manhattan","New York","10128","8","1","40.77784921","-73.94762692","108","5","14402","MN32","1015680008","1050618","POINT (-73.94762692 40.77784921)","School",
"Morgan Stanley - CMP072 - 399 Park - New York NY 399 - Floor: 12","399 Park Avenue","FL 12","Manhattan","New York","10022","13","2","40.75953381","-73.97224506","105","4","10000","MN19","1013087502","1071457","POINT (-73.97224506 40.75953381)","Businesses & Commercial Spaces",
"Interpublic Group of Companies, Inc","909 3 AVENUE","24th floor","Manhattan","New York","10022","70","1","40.75873689","-73.96861769","106","4","10800","MN19","1013280001","1038570","POINT (-73.96861769 40.75873689)","Businesses & Commercial Spaces",
"The Museum of Modern Art","11 WEST 53 STREET","FL 04 - 42 West, PE1 & PE2 Vestibule","Manhattan","New York","10019","13","1","40.76099511","-73.97720066","105","4","10400","MN17","1012690020","1081128","POINT (-73.97720066 40.76099511)","Museums",
"P.S. 152 Evergreen","1007 Evergreen Avenue","3rd fl outside 316","Bronx","New York","10472","29","1","40.82401732","-73.88003067","209","17","5200","BX55","2037110001","2023336","POINT (-73.88003067 40.82401732)","Public Schools","03/10/2025"
"Columbia University","3270 BROADWAY","Public Safety Supervisor patrol vehicle","Manhattan","New York","10027","1","1","40.81794551","-73.95663104","109","7","21900","MN06","1019860030","1081809","POINT (-73.95663104 40.81794551)","Colleges & Universities","09/05/2024"
"M.S. 224 Manhattan East School for Arts & Academics","410 East 100 Street","Outside Room 263","Manhattan","New York","10029","8","1","40.78566384","-73.94254713","111","8","16200","MN33","1016930001","1052998","POINT (-73.94254713 40.78566384)","Public Schools",
"United Senior Citizens Center of Sunset Park","475 53rd Street","Director's Office","Brooklyn","New York","11220","3","1","40.6438526","-74.01276689","307","38","7600","BK32","3008070046","3013917","POINT (-74.01276689 40.6438526)","Senior Centers",
"TBWAWorld Health","488 MADISON AVENUE","4th floor","Manhattan","New York","10022","5","1","40.75888115","-73.97485511","105","4","10200","MN17","1012870014","1035470","POINT (-73.97485511 40.75888115)","Businesses & Commercial Spaces",
"Success Academy Charter School - Rosedale","147-65 249 Street","Main Entrance","Queens","New York","11422","0","1","40.65579454","-73.73879176","413","31","66400","QN05","4136400001","4289717","POINT (-73.73879176 40.65579454)","School",
"Sixth Avenue Elementary School","64 West 17 Street","third floor outside room 314","Manhattan","New York","10011","8","1","40.738718","-73.99416856","105","3","5400","MN13","1008187501","1068261","POINT (-73.99416856 40.738718)","School",
"Excellence Boys Charter School of Bedford Stuyvesant Middle Academy","225 Patchen Avenue","main entrance","Brooklyn","New York","11233","6","1","40.68354099","-73.92618686","303","41","38300","BK35","3016730001","3046965","POINT (-73.92618686 40.68354099)","School",
"Pathways to Graduation @ Alpha School - Center for Progressive Living, Inc.","2400 Linden Boulevard","2ND Floor Inside Lounge","Brooklyn","New York","11208","1","1","40.66531784","-73.87491755","305","42","111600","BK82","3045010002","3098799","POINT (-73.87491755 40.66531784)","School",
"Adult Education - School 6","1223 Coney Island Ave","Main Entrance","Brooklyn","New York","11230","18","1","40.6277665","-73.96572903","314","45","53000","BK43","3066950056","3179195","POINT (-73.96572903 40.6277665)","School","03/10/2025"
"Recursion","66 Hudson Boulevard","FL 53 - Suite 5310","Manhattan","New York","10001","0","1","40.75548041","-74.00021296","104","3","9900","MN13","1007060017","1090122","POINT (-74.00021296 40.75548041)","Businesses & Commercial Spaces","08/06/2025"
"Cultural Arts Academy Charter School at Spring Creek (K792)","1400 Linden Boulevard","Main Entrance","Brooklyn","New York","11212","12","1","40.65450482","-73.9083397","316","42","92200","BK81","3036420022","3083069","POINT (-73.9083397 40.65450482)","School",
"The Guggenheim Museum","1 LIBERTY PLAZA","FL 25","Manhattan","New York","10006","13","1","40.70939527","-74.0110734","101","1","1300","MN25","1000627501","1001068","POINT (-74.0110734 40.70939527)","Museums",
"P.S./M.S 042 R. Vernam","488 Beach 66 Street","Outside Room 534","Queens","New York","11692","11","1","40.59453042","-73.79530491","414","31","96400","QN12","4160390014","4302817","POINT (-73.79530491 40.59453042)","Public Schools",
"P.S. 110 Florence Nightingale","285 Delancey Street","gym by nurse's office","Manhattan","New York","10002","7","1","40.71590738","-73.97989278","103","1","1200","MN28","1003310140","1004066","POINT (-73.97989278 40.71590738)","Public Schools",
"Vornado Office Managment, LLC","1 PENN PLAZA","Lower Concourse - Convertor Room","Manhattan","New York","10119","54","1","40.75109132","-73.9929259","105","12","10100","MN17","1007830070","1014387","POINT (-73.9929259 40.75109132)","Businesses & Commercial Spaces","11/01/2024"
"P.S. 316 Elijah Stroud","750 Classon Avenue","outside 312","Brooklyn","New York","11238","3","1","40.67439306","-73.96025411","308","35","21500","BK64","3011670018","3029246","POINT (-73.96025411 40.67439306)","Public Schools",
"P.S. 273 Queens","88-07 102 Street","Main Entrance","Queens","New York","11418","11","1","40.69359867","-73.84463061","409","29","2800","QN54","4092880101","4539360","POINT (-73.84463061 40.69359867)","Public Schools",
"MacAndrews & Forbes","159 EAST 62 STREET","N/A","Manhattan","New York","10065","5","4","40.76385793","-73.96622188","108","4","11402","MN40","1013970028","1042045","POINT (-73.96622188 40.76385793)","Businesses & Commercial Spaces",
"Community Lounge Senior Centers","155 East 22nd Street","Director's Office","Manhattan","New York","10010","4","1","40.73842063","-73.98423426","106","2","6800","MN21","1008780034","1018018","POINT (-73.98423426 40.73842063)","Senior Centers",
"Perkins Coie LLP","30 ROCKEFELLER PLAZA","floor 25 / mailroom","Manhattan","New York","10112","13","1","40.75874744","-73.97869222","105","4","10400","MN17","1012657501","1076262","POINT (-73.97869222 40.75874744)","Businesses & Commercial Spaces",
"Greenberg Traurig","200 Park Avenue","FL 20","Manhattan","New York","10166","8","1","40.75415504","-73.97655693","105","4","9200","MN19","1012809010","1085735","POINT (-73.97655693 40.75415504)","Businesses & Commercial Spaces",
"P.S. 380 John Wayne Elementary","370 Marcy Avenue","across from room 332","Brooklyn","New York","11206","23","1","40.70241994","-73.95298449","301","33","53100","BK75","3022360009","3061235","POINT (-73.95298449 40.70241994)","Public Schools",
"New York City Academy for Discovery","95-16 89th Avenue","Outside Room 311","Queens","New York","11421","47","1","40.69175728","-73.84900541","409","32","2000","QN53","4089750100","4538070","POINT (-73.84900541 40.69175728)","Public Schools","03/10/2025"
"Orchard Collegiate Academy","220 Henry Street","main entrance","Manhattan","New York","10002","1","1","40.71367683","-73.98633592","103","1","201","MN28","1002690041","1003223","POINT (-73.98633592 40.71367683)","School",
"M.S. 113 Ronald Edmonds Learning Center","300 Adelphi Street","4th Floor Outside 417","Brooklyn","New York","11205","1","1","40.68880361","-73.97100896","302","35","18100","BK68","3021030004","3059051","POINT (-73.97100896 40.68880361)","Public Schools",
"Cauldwell Wingate","380 LEXINGTON AVENUE","52nd Floor","Manhattan","New York","10168","0","0","40.75102872","-73.97635953","105","4","8000","MN20","1012960014","1036152","POINT (-73.97635953 40.75102872)","Businesses & Commercial Spaces",
"P.S. 124 Silas B. Dutcher","515 Fourth Avenue","Main Entrance","Brooklyn","New York","11215","6","1","40.66753766","-73.99104593","306","38","14100","BK37","3010340001","3023391","POINT (-73.99104593 40.66753766)","Public Schools",
"RXR [530 Fifth Ave]","530 Fifth Avenue","FL 03 - Property Management Office","Manhattan","New York","10036","0","1","40.75487205","-73.97987736","105","4","9600","MN17","1012607503","1034227","POINT (-73.97987736 40.75487205)","Businesses & Commercial Spaces","03/25/2025"
"Brooklyn Prospect Charter - Windsor Terrace Middle School","80 Willoughby Street","outside room 410","Brooklyn","New York","11201","7","1","40.69215499","-73.98561553","302","33","1100","BK38","3001527502","3000412","POINT (-73.98561553 40.69215499)","School",
"Morgan Stanley - ISG - New York Metro - 750 7th Ave - Floor: 5","750 SEVENTH AVENUE","Floor: 5","Manhattan","New York","10019","1","1","40.76074642","-73.98352505","105","3","12500","MN17","1010210026","1024795","POINT (-73.98352505 40.76074642)","Businesses & Commercial Spaces",
"Forest Hills High School","67-01 110 Street","1st Floor Outside Girls Gym","Queens","New York","11375","20","1","40.72939462","-73.84563646","406","29","74700","QN17","4021890002","4052143","POINT (-73.84563646 40.72939462)","School",
"Wachtell, Lipton, Rosen & Katz","51 WEST 52 STREET","52nd St","Manhattan","New York","10019-6119","41","21","40.76064125","-73.97830898","105","4","10400","MN17","1012680001","1081406","POINT (-73.97830898 40.76064125)","Businesses & Commercial Spaces",
"The Heritage School","1680 Lexington Avenue","3rd Floor by Elevator","Manhattan","New York","10029","9","1","40.7918744","-73.94655768","111","8","17200","MN33","1016330013","1051991","POINT (-73.94655768 40.7918744)","School",
"The American Dream Charter High School","403 Concord Avenue","Main Entrance","Bronx","New York","10454","19","1","40.80911022","-73.90958176","201","8","3500","BX39","2025730087","2003866","POINT (-73.90958176 40.80911022)","School",
"Lotte New York Palace Hotel","455 MADISON AVENUE","House Officer - Safety and Administration","Manhattan","New York","10022","20","5","40.75810725","-73.97539324","105","4","10200","MN17","1012860021","1035462","POINT (-73.97539324 40.75810725)","Businesses & Commercial Spaces",
"Walt Disney/ABC, Inc.","147 COLUMBUS AVENUE","Elevator Lobby-8th Floor","Manhattan","New York","10023","180","1","40.77383035","-73.98138801","107","6","15300","MN14","1011190001","1075637","POINT (-73.98138801 40.77383035)","Businesses & Commercial Spaces",
"Abraham Lincoln High School","2800 Ocean Parkway","Outside room 351","Brooklyn","New York","11235","103","1","40.58167376","-73.96730799","313","47","35400","BK23","3072540001","3196293","POINT (-73.96730799 40.58167376)","Public Schools","03/10/2025"
"All City Leadership Secondary School","321 Palmetto Street","Main Entrance","Brooklyn","New York","11237","57","1","40.69736279","-73.91317072","304","37","43300","BK77","3033440136","3413715","POINT (-73.91317072 40.69736279)","School","03/10/2025"
"P.S. 198 Brooklyn","4105 Farragut Road","Outside Room 337","Brooklyn","New York","11210","11","1","40.63693304","-73.93733957","317","45","83600","BK91","3049880066","3113388","POINT (-73.93733957 40.63693304)","Public Schools",
"Shubert Theater","225 West 44th St","coatcheck","Manhattan","New York","10036","2","1","40.7579555","-73.98747105","105","3","11900","MN17","1010160015","1080842","POINT (-73.98747105 40.7579555)","Performance Venues",
"Columbia University - The Forum","605 West 125th Street","East Wall (behind Public Safety Desk)","Manhattan","New York","10027","1","1","40.81608532","-73.95864819","109","7","1013","MN06","1019950031","1090189","POINT (-73.95864819 40.81608532)","Colleges & Universities","09/06/2024"
"Zeta Charter School - South Bronx","425 Westchester Avenue","FL 10 - Outside Elevator","Bronx","New York","10454","46","1","40.81644629","-73.91597724","201","17","7100","BX34","2023627501","2130504","POINT (-73.91597724 40.81644629)","School","03/10/2025"
"Dr. Jacqueline Peek-Davis School","430 Howard Avenue","main entrance next to school security","Brooklyn","New York","11233","10","1","40.67306523","-73.91959414","316","41","36300","BK79","3014570032","3039174","POINT (-73.91959414 40.67306523)","School",
"P811Q Marathon School - Main Site (Q811)","61-25 Marathon Parkway","Main Lobby","Queens","New York","11362","19","1","40.75676999","-73.72948586","411","23","152902","QN45","4083610001","4173060","POINT (-73.72948586 40.75676999)","School",
"BBDO","1285 6th Ave","4th floor Health Services","Manhattan","New York","10019","1","1","40.76074583","-73.97981783","105","4","13100","MN17","1010040029","1023158","POINT (-73.97981783 40.76074583)","Businesses & Commercial Spaces",
"Walt Disney/ABC, Inc.","56 WEST 66 STREET","Lobby-1st Floor","Manhattan","New York","10023","180","1","40.77304791","-73.98027983","107","6","14900","MN14","1011180052","1028172","POINT (-73.98027983 40.77304791)","Businesses & Commercial Spaces",
"P.S. 109 Brooklyn","1001 East 45 Street","across room 320","Brooklyn","New York","11203","31","1","40.63644784","-73.93358209","317","45","83600","BK91","3050220002","3114526","POINT (-73.93358209 40.63644784)","Public Schools","03/10/2025"
"Growing Up Green Charter School II","84-35 152nd Street","main entrance","Queens","New York","11432","14","1","40.71306398","-73.80797223","408","24","23000","QN35","4097490036","4208741","POINT (-73.80797223 40.71306398)","School",
